date,dateHijri,adhanFajr,iqamaFajr,shourouk,adhanDhuhr,iqamaDhuhr,adhanAsr,iqamaAsr,adhanMaghrib,iqamaMaghrib,adhanIsha,iqamaIsha,Jumua1,Jumua2
04/11/2025,"AsSabt, 11 Rabi' Thani, 2025",4:49 am,5:15 am,6:16 am,12:56 pm,1:15 pm,4:39 pm,6:15 pm,7:35 pm,7:38 pm,9:03 pm,9:02 pm,12:00 pm,1:00 pm
04/12/2025,"AlAhad, 12 Rabi' Thani, 2025",4:47 am,5:15 am,6:15 am,12:56 pm,1:15 pm,4:39 pm,6:15 pm,7:37 pm,7:40 pm,9:04 pm,9:04 pm,12:00 pm,1:00 pm
04/13/2025,"AlEthnien, 13 Rabi' Thani, 2025",4:45 am,5:15 am,6:13 am,12:55 pm,1:15 pm,4:40 pm,6:15 pm,7:38 pm,7:41 pm,9:06 pm,9:05 pm,12:00 pm,1:00 pm
04/14/2025,"AthThulatha, 14 Rabi' Thani, 2025",4:43 am,5:15 am,6:11 am,12:55 pm,1:15 pm,4:41 pm,6:15 pm,7:39 pm,7:42 pm,9:07 pm,9:07 pm,12:00 pm,1:00 pm
04/15/2025,"AlArbia'a, 15 Rabi' Thani, 2025",4:41 am,5:15 am,6:09 am,12:55 pm,1:15 pm,4:41 pm,6:15 pm,7:41 pm,7:44 pm,9:09 pm,9:09 pm,12:00 pm,1:00 pm
04/16/2025,"AlKhamis, 16 Rabi' Thani, 2025",4:39 am,5:15 am,6:07 am,12:55 pm,1:15 pm,4:42 pm,6:15 pm,7:42 pm,7:45 pm,9:11 pm,9:10 pm,12:00 pm,1:00 pm
04/17/2025,"AlJumaa, 17 Rabi' Thani, 2025",4:36 am,5:15 am,6:06 am,12:54 pm,1:15 pm,4:42 pm,6:15 pm,7:43 pm,7:46 pm,9:12 pm,9:12 pm,12:00 pm,1:00 pm
04/18/2025,"AsSabt, 18 Rabi' Thani, 2025",4:34 am,5:15 am,6:04 am,12:54 pm,1:15 pm,4:43 pm,6:15 pm,7:44 pm,7:47 pm,9:14 pm,9:14 pm,12:00 pm,1:00 pm
04/19/2025,"AlAhad, 19 Rabi' Thani, 2025",4:32 am,5:15 am,6:02 am,12:54 pm,1:15 pm,4:43 pm,6:15 pm,7:46 pm,7:49 pm,9:16 pm,9:15 pm,12:00 pm,1:00 pm
04/20/2025,"AlEthnien, 20 Rabi' Thani, 2025",4:30 am,5:15 am,6:00 am,12:54 pm,1:15 pm,4:44 pm,6:15 pm,7:47 pm,7:50 pm,9:18 pm,9:17 pm,12:00 pm,1:00 pm
04/21/2025,"AthThulatha, 21 Rabi' Thani, 2025",4:28 am,5:00 am,5:59 am,12:54 pm,1:15 pm,4:44 pm,6:15 pm,7:48 pm,7:51 pm,9:19 pm,9:19 pm,12:00 pm,1:00 pm
04/22/2025,"AlArbia'a, 22 Rabi' Thani, 2025",4:26 am,5:00 am,5:57 am,12:53 pm,1:15 pm,4:44 pm,6:15 pm,7:50 pm,7:53 pm,9:21 pm,9:21 pm,12:00 pm,1:00 pm
04/23/2025,"AlKhamis, 23 Rabi' Thani, 2025",4:24 am,5:00 am,5:55 am,12:53 pm,1:15 pm,4:45 pm,6:15 pm,7:51 pm,7:54 pm,9:23 pm,9:22 pm,12:00 pm,1:00 pm
04/24/2025,"AlJumaa, 24 Rabi' Thani, 2025",4:21 am,5:00 am,5:54 am,12:53 pm,1:15 pm,4:45 pm,6:15 pm,7:52 pm,7:55 pm,9:24 pm,9:24 pm,12:00 pm,1:00 pm
04/25/2025,"AsSabt, 25 Rabi' Thani, 2025",4:19 am,5:00 am,5:52 am,12:53 pm,1:15 pm,4:46 pm,6:15 pm,7:53 pm,7:56 pm,9:26 pm,9:26 pm,12:00 pm,1:00 pm
